Area_Code,Area,Item_Code,Item,CPC_Code,Element_Code,Element,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
173,Poland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,8844000,8221359,7642576,7695680,7305594,7136466,7307382,6955251,6555033,6082549,5734339,5532728,5488943,5353421,5483290,5606358,5696186,5756639,5700017,5742094,5761878,5776767,5859540,5920411,5960693,5939046,6143083,6183300,6261600,6278900
167,Czechia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,2511737,2161438,2029827,1988810,1865902,1700789,1657337,1573530,1582027,1520136,1473828,1428329,1397308,1373645,1391393,1401607,1363213,1349286,1343686,1353685,1352822,1373560,1407132,1415658,1421242,1365240,1367050,1340040
162,Norway,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,974185,982507,974736,979456,988403,1005766,1017775,1036416,1033070,987915,978854,958661,956916,943208,933698,922976,905515,891170,878134,874529,864139,861924,853655,840000,853327,872145,885292,881881,872955,869136
154,North Macedonia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,283837,286098,281449,282357,284254,295626,289908,267899,270725,265725,259600,260566,255565,248910,256180,254406,254113,253161,260527,265939,251890,238983,242257,254086,255403,255658,256808,218415,222825
150,Netherlands,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,5062000,4920000,4797000,4716000,4654000,4557000,4411000,4283000,4206000,4070000,4047000,3858000,3759000,3767000,3799000,3749000,3763000,3890000,3967600,3975190,3885350,3879250,3999220,4169000,4315000,4294000,4030000,3690000,3721000,3691000
146,Republic of Moldova,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,771891,591473,815060,750835,726497,570044,485442,452000,422969,394006,404845,409639,372838,330593,310476,299105,231716,217712,221622,215951,203875,191200,188862,191214,186116,182339,167423,144828,123713
134,Malta,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,22000,22000,21500,19800,18500,21000,21000,19000,20000,19200,19200,19003,18770,17940,19408,19742,19233,19442,16264,14954,15074,15593,15220,14883,15020,14356,14184,14120,14000,14010
126,Lithuania,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,2196600,1701000,1384300,1152400,1065100,1054100,1016300,922800,897800,748300,751700,779100,812100,792000,800300,838800,787900,770900,759400,748000,752400,729200,713500,736612,722602,694752,653500,634600,629500
119,Latvia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,1382900,1144300,677900,550800,537060,509400,476900,434400,378400,366700,384700,388100,378600,371100,385200,377100,398700,380200,378200,379500,380600,393100,406500,422019,419084,412314,395330,395320,398990
106,Italy,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,8234500,8087300,7703500,7559800,7271900,7413500,7312500,7328000,7329000,7344000,6232000,6932774,6689703,6727393,6514000,6460000,6348000,6590149,6523007,6468086,6186859,6440332,6249331,6125424,6155806,6314888,6350185,6711950,6779520,6807070
104,Ireland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,6100500,6147400,6236400,6263900,6343900,6450600,6660900,6881600,6951700,7037400,7049700,6992200,6999500,7015600,6991800,6977800,6890900,6902100,6890700,6606600,6493000,6754100,6902600,6926100,6963500,7221200,7363498,6593490,6559650,6529440
99,Iceland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,77681,76034,73912,71923,73199,74816,74791,75500,74534,72135,70168,67225,66035,64639,65979,68670,70660,72012,73498,73781,72773,71513,68014,74444,78628,79923,80895,81385,80872,80643
98,Croatia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,590000,589635,518708,493418,461645,451266,443000,438543,426570,438423,417113,444320,465935,471025,482905,467077,453555,447000,444000,446555,452000,442000,441000,440092,444613,450757,414000,420000,423000
97,Hungary,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1571000,1420046,1159000,999000,910000,928000,909000,871000,873000,857000,805000,783000,770000,739000,723000,708000,702000,705000,701000,700000,682000,697000,760000,782000,802000,821000,852000,892000,915000,940400
84,Greece,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,624283,602770,588065,579930,578500,581792,581143,581105,584232,602810,614035,622367,626878,621796,605283,618932,630274,625286,628065,628977,628979,624852,611131,602214,611905,613390,615273,546000,534000,543000
80,Bosnia and Herzegovina,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,550000,550000,500000,403000,330000,411800,425743,442537,461928,440000,410000,440000,452895,459790,514869,467986,459218,457743,462368,455258,444595,446893,444000,454810,455191,444522,438006,429653,427461
79,Germany,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,19488000,17133800,16207340,15896620,15962237,15889915,15759573,15227152,14942024,14657901,14567737,14226600,13643703,13195800,13034500,12747900,12686644,12969674,12944903,12813692,12567174,12482364,12592495,12748697,12643428,12474558,12289869,11958700,11649640,11312560
68,France,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,21097138,20654916,20446184,20450490,20540297,20507820,20205040,20051494,20066844,21256247,21137970,20461291,19772441,19516224,19421068,19534688,19885156,20046940,19805378,19555173,19085561,19005649,19095797,19248627,19386522,19373382,18953568,18613040,18172970,17789250
67,Finland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1309900,1273200,1252300,1233000,1147900,1145600,1142400,1117100,1086800,1056700,1037400,1025400,1000200,969000,958925,949291,926694,915345,918268,925808,914053,912768,911847,914439,914717,909021,893178,859380,840740,835380
64,Faroe Islands,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,2000,2000,2129,2304,2322,2249,2271,2149,2192,2306,2371,2398,2397,2342,2135,2069,2093,1981,2043,1990,1952,1899,1943,1917,1872,1831,1875,1841,1808,1778
63,Estonia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,708273,614600,463200,419500,370400,343000,325600,307500,267300,252800,260500,253900,257200,249800,249500,244800,240500,237900,234700,236300,238300,246000,261400,264700,248236,250900,251900,254000,253300
57,Belarus,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,6577000,6220600,5851400,5403300,5053900,4854600,4801100,4685500,4326200,4220500,4084500,4005100,3924100,3962600,3980200,3988711,4006700,4130500,4151000,4151300,4247000,4367000,4363700,4356500,4298300,4361400,4340400,4294700,4292400
54,Denmark,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,2222000,2190000,2195000,2104904,2090733,2093256,2004212,1977367,1887057,1867937,1906911,1796118,1724409,1645764,1570085,1534763,1566218,1564393,1540340,1571050,1567971,1606826,1614644,1563535,1551948,1568288,1545417,1530000,1500000,1500000
51,Czechoslovakia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bulgaria,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1482417,1335618,995836,767646,651904,645446,593493,622273,681741,690938,647568,640995,698719,736211,679552,629995,636518,611024,574126,547866,553697,567528,535324,585548,562362,561044,570139,557750,543920,609090
15,Belgium-Luxembourg,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Austria,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,2583914,2534008,2400725,2333887,2328518,2325825,2271949,2197940,2171681,2152811,2155447,2118454,2066942,2052033,2050991,2010680,2002919,2000196,1997209,2026260,2013281,1976527,1955618,1958282,1961201,1957610,1954391,1912810,1879520,1855430
3,Albania,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,641700,617700,656400,820110,840110,806120,771120,705120,720120,728120,708520,690120,684120,654120,655120,634120,577120,541120,494120,493120,492120,498138,498251,499810,504316,492512,475333,467435,415727,362701
