Area_Code,Area,Item_Code,Item,CPC_Code,Element_Code,Element,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
134,Malta,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,1650,1640,1640,1650,1736,1750,1686,1584,1588,1608,1536,1636,1408,1290,1390,1398,1386,1479,1543,1422,1128,1111,1134,1129,1032,1151,1117,1070,1030,1140
126,Lithuania,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,226113,161784,116140,86863,83008,89665,81419,77253,75411,47331,44732,43230,47600,52891,47323,55977,47539,45114,43717,41980,40902,37709,40240,45102,43319,41917,41670,44180,43410
119,Latvia,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,119600,107000,68100,48000,26500,25504,25837,22520,22342,19044,16043,21193,21587,20444,20684,22755,21445,20452,18414,18015,17312,16688,17659,18769,19468,18450,17480,16370,16030
106,Italy,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,1181572,1217542,1187744,1171219,1180935,1181985,1161061,1112740,1165509,1153402,1134083,1135791,1128221,1148278,1108062,1110299,1122591,1059314,1055003,1075333,1011018,981660,853980,709427,788277,809656,756421,831548,801097,752609
104,Ireland,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,557100,568200,528500,447800,481100,538400,569500,594800,643800,576900,579400,540000,568000,563600,546000,537300,580800,537300,514500,559100,547100,495400,517600,582100,564100,588400,617000,622540,619800,633380
99,Iceland,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,2998,3380,3401,3541,3061,3142,3441,3443,3664,3626,3683,3639,3624,3611,3540,3196,3557,3607,3761,3895,3858,4114,4082,3495,3605,4387,4614,4775,4826,4652
98,Croatia,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,36778,33824,28346,25838,21517,26276,25691,27614,27854,25570,26602,28150,31507,32800,36230,33400,35700,36800,37500,36200,47100,47400,44300,42000,44709,42562,43780,45430,43370
97,Hungary,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,122800,123200,97100,72100,57500,50200,55270,47020,50970,66940,51600,47620,39173,37513,32241,33303,34258,32121,30149,27598,26432,25394,23457,24080,27315,28939,28162,30180,30820,29150
84,Greece,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,79246,75895,72659,70836,72255,70991,72428,73131,71966,70129,74950,73158,74428,77128,72555,72988,75897,72517,74104,72097,69983,69639,68951,49393,40518,40351,42917,40478,34134,35434
80,Bosnia and Herzegovina,1806,Beef and Buffalo Meat,'F1806,5510,Production,tonnes,,27000,26000,21000,15900,13000,13343,16200,15000,16300,13700,16000,17700,19313,23583,22378,23809,26335,23363,23390,22424,22900,16415,11429,22849,15958,15530,11509,11802,14465
