,Date,Country,Price,Year,Month,Week
138,2005-02-21,BE,248.5,2005,2,8
139,2005-02-28,BE,250.04,2005,2,9
140,2005-03-07,BE,251.09,2005,3,10
141,2005-03-14,BE,251.84,2005,3,11
142,2005-03-21,BE,252.78,2005,3,12
143,2005-03-28,BE,253.92,2005,3,13
144,2005-04-04,BE,254.78,2005,4,14
145,2005-04-11,BE,255.43,2005,4,15
146,2005-04-18,BE,255.62,2005,4,16
147,2005-04-25,BE,255.56,2005,4,17
148,2005-05-02,BE,255.65,2005,5,18
149,2005-05-09,BE,256.4,2005,5,19
150,2005-05-16,BE,257.12,2005,5,20
151,2005-05-23,BE,257.95,2005,5,21
152,2005-05-30,BE,258.72,2005,5,22
153,2005-06-06,BE,260.37,2005,6,23
154,2005-06-13,BE,260.57,2005,6,24
155,2005-06-20,BE,259.78,2005,6,25
156,2005-06-27,BE,260.16,2005,6,26
157,2005-07-04,BE,260.16,2005,7,27
158,2005-07-11,BE,260.16,2005,7,28
159,2005-07-18,BE,260.16,2005,7,29
160,2005-07-25,BE,260.68,2005,7,30
161,2005-08-01,BE,260.82,2005,8,31
162,2005-08-08,BE,261.47,2005,8,32
163,2005-08-15,BE,261.39,2005,8,33
164,2005-08-22,BE,261.62,2005,8,34
165,2005-08-29,BE,261.47,2005,8,35
166,2005-09-05,BE,259.73,2005,9,36
167,2005-09-12,BE,258.79,2005,9,37
168,2005-09-19,BE,258.18,2005,9,38
169,2005-09-26,BE,258.12,2005,9,39
170,2005-10-03,BE,258.25,2005,10,40
171,2005-10-10,BE,258.11,2005,10,41
172,2005-10-17,BE,258.44,2005,10,42
173,2005-10-24,BE,258.44,2005,10,43
174,2005-10-31,BE,258.6,2005,10,44
175,2005-11-07,BE,261.02,2005,11,45
176,2005-11-14,BE,262.02,2005,11,46
177,2005-11-21,BE,262.5,2005,11,47
178,2005-11-28,BE,262.72,2005,11,48
179,2005-12-05,BE,266.03,2005,12,49
180,2005-12-12,BE,266.68,2005,12,50
181,2005-12-19,BE,267.0,2005,12,51
182,2005-12-26,BE,266.97,2005,12,52
183,2006-01-02,BE,274.55,2006,1,1
184,2006-01-09,BE,275.09,2006,1,2
185,2006-01-16,BE,274.8,2006,1,3
186,2006-01-23,BE,276.53,2006,1,4
187,2006-01-30,BE,277.37,2006,1,5
188,2006-02-06,BE,278.29,2006,2,6
189,2006-02-13,BE,279.84,2006,2,7
190,2006-02-20,BE,280.0,2006,2,8
191,2006-02-27,BE,281.08,2006,2,9
192,2006-03-06,BE,280.76,2006,3,10
193,2006-03-13,BE,281.13,2006,3,11
194,2006-03-20,BE,283.7,2006,3,12
195,2006-03-27,BE,287.81,2006,3,13
196,2006-04-03,BE,289.83,2006,4,14
197,2006-04-10,BE,286.9,2006,4,15
198,2006-04-17,BE,286.44,2006,4,16
199,2006-04-24,BE,286.63,2006,4,17
200,2006-05-01,BE,290.63,2006,5,18
201,2006-05-08,BE,290.63,2006,5,19
202,2006-05-15,BE,291.44,2006,5,20
203,2006-05-22,BE,295.85,2006,5,21
204,2006-05-29,BE,298.33,2006,5,22
205,2006-06-05,BE,299.71,2006,6,23
206,2006-06-12,BE,300.96,2006,6,24
207,2006-06-19,BE,300.98,2006,6,25
208,2006-06-26,BE,298.5,2006,6,26
209,2006-07-03,BE,297.46,2006,7,27
210,2006-07-10,BE,295.94,2006,7,28
211,2006-07-17,BE,295.45,2006,7,29
212,2006-07-24,BE,293.45,2006,7,30
213,2006-07-31,BE,292.37,2006,7,31
214,2006-08-07,BE,292.03,2006,8,32
215,2006-08-14,BE,293.2,2006,8,33
216,2006-08-21,BE,292.04,2006,8,34
217,2006-08-28,BE,294.54,2006,8,35
218,2006-09-04,BE,294.75,2006,9,36
219,2006-09-11,BE,295.17,2006,9,37
220,2006-09-18,BE,294.9,2006,9,38
221,2006-09-25,BE,294.68,2006,9,39
222,2006-10-02,BE,294.45,2006,10,40
223,2006-10-09,BE,293.26,2006,10,41
224,2006-10-16,BE,293.57,2006,10,42
225,2006-10-23,BE,292.78,2006,10,43
226,2006-10-30,BE,292.66,2006,10,44
227,2006-11-06,BE,292.78,2006,11,45
228,2006-11-13,BE,293.53,2006,11,46
229,2006-11-20,BE,292.87,2006,11,47
230,2006-11-27,BE,292.4,2006,11,48
231,2006-12-04,BE,292.66,2006,12,49
232,2006-12-11,BE,291.57,2006,12,50
233,2006-12-18,BE,290.64,2006,12,51
234,2006-12-25,BE,289.86,2006,12,52
235,2007-01-01,BE,288.65,2007,1,1
236,2007-01-08,BE,288.47,2007,1,2
237,2007-01-15,BE,287.84,2007,1,3
